Size in MM,Catalog Number ,Title ,Band Name
55,B1,radio ethiopia,"Smith, Patti"
55,B2,lou reed,"Reed, Lou"
55,B3,the ramones,Ramones
55,B4,the clash,The Clash
55,B5,the damned,The Damned
55,B6,sex pistols,Sex Pistols
55,B7,hotrods,Eddie & the Hotrods
55,B8,keef,Rolling Stones
55,B9,jagger,Rolling Stones
55,B10,blue oyster cult,Blue Oyster Cult
55,B11,hendrix lives,"Hendrix, Jimi"
55,B12,bob dylan - 1966,"Dylan, Bob"
38,B14,punk by edward red/black - size 3,
38,B15,logo silver/black - size 3,Motorhead
38,B16,born to lose b/w - size 3,Motorhead
38,B17,pig pink/black - size 2,
38,B18,furry freaks mixed colour - size 2,
38,B19,portobello rd - size 4,
45,B20,fare fight - size 2,
